term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Artifact,"In the context of fNIRS, an artifact is a disturbance of the fNIRS signal that makes the identification of physiologically relevant information in the fNIRS signal difficult or impossible. Generally it is a component of the fNIRS signal that is not induced by neuronal activity and may thus contaminate the measured hemodynamic response. Common sources of artifact in fNIRS data include relative movement between the optodes and the scalp (i.e. motion artifacts), optical signal changes caused by non-brain function related physiological variations (e.g., effects of blood flow changes in the scalp or respiration), environmental variations (e.g., due to stray or ambient light), as well as  undesired instrument fluctuations (i.e., related to the measurement equipment).",Analysis,"Physiological Noise, Filtering, Noise, Motion Correction, Accelerometer, Gyroscope, Inertial measurement Unit (IMU), Low-Pass Filter, High-Pass Filter, Band Pass Filter, baseline shift, baseline drift",,,"<p></p><a href=""https://doi.org/10.3389/fnins.2012.00147
"" target=""_blank"">https://doi.org/10.3389/fnins.2012.00147
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.04.082
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.04.082
</a>", , , ,Ann-Christine Ehlis," Qianqian Fang, David Moreau, Aahana Bajracharya Agnes Kroczek, Franziska Klein, Vanessa Reindl, Chia-Chuan Yu, Edgar Guevara, Murat Can Mutlu, Felix Scholkmann, Jessica Gemignani, Mahmoud Elsherif, Christian Gerloff, Samuel Forbes, Abi Fiske, Meryem Ayşe Yücel, Anastasia Kerr-German",Complete (agreement from at least 5 team members)
Band-pass filtering,"A band-pass filter is a combination of a low-pass and a high-pass filter and has the effect of attenuating frequencies above and below the passband frequencies. In the context of fNIRS, band-pass filtering is used as a signal processing step to reduce undesired fNIRS signal frequency components that are irrelevant to the brain functions of interest, i.e. task or stimulus evoked hemodynamic responses or resting-state hemodynamics. ",Analysis,"high-pass filtering, low-pass filtering, wavelet, temporal filtering",bpf,filtering,"<p></p><a href=""https://doi.org/10.3389/fnhum.2019.00331
"" target=""_blank"">https://doi.org/10.3389/fnhum.2019.00331
</a><p></p><a href=""https://doi.org/10.1542/peds.2015-2326
"" target=""_blank"">https://doi.org/10.1542/peds.2015-2326
</a><p></p><a href=""http://dx.doi.org/10.1136/adc.76.2.151 
"" target=""_blank"">http://dx.doi.org/10.1136/adc.76.2.151 
</a><p></p><a href=""https://doi.org/10.3389/fnhum.2013.00864 
"" target=""_blank"">https://doi.org/10.3389/fnhum.2013.00864 
</a>", ,, ,Anastasia Kerr-German," Franziska Klein, Talukdar Raian Ferdous, Chia-Chuan Yu, Felix Scholkmann, Ishara Paranawithana, Paola Pinti, Jason DeFreitas, Christian Gerloff, Samuel Forbes, Meryem Ayşe Yücel,Qianqian Fang, Anastasia Kerr-German",Complete (agreement from at least 5 team members)
Baseline Drift,"A baseline drift refers to a gradual change or deviation in a signal’s behavior or output over time. Changes in the contact between the sensors and the scalp, temperature variations, instrument instability, and other variables can all contribute to this change.",Analysis,"Motion artifact, baseline shift",,Signal drift,"<a href=""https://doi.org/10.3389/fnhum.2015.00617"" target=""_blank"">https://doi.org/10.3389/fnhum.2015.00617</a>",,"Trend, detrending",,Talukdar Raian Ferdous ,"Sara Sanchez-Alonso, Meryem Ayşe Yücel, Hamid Dehghani, Qianqian Fang, Felix Scholkmann",Complete (agreement from at least 5 team members)
Baseline Shift,"A baseline shift is an artifact in the signal that specifically refers to a rapid change in the amplitude of the signal, typically taking a few seconds or less, which results in a discontinuity in the signal. For example, when an optode moves relative to the scalp and fails to return to its original position, this will create a baseline shift in the signal. ",Analysis,"artifact, spikes, motion artifacts, noise, baseline drift",,"shift artifacts, step-like artifacts","<a href="" https://doi.org/10.1109/EMBC46164.2021.9631014"" target=""_blank""> https://doi.org/10.1109/EMBC46164.2021.9631014</a><p></p><a href=""https://doi.org/10.3389/fnins.2012.00147
"" target=""_blank"">https://doi.org/10.3389/fnins.2012.00147
</a><p></p><a href=""https://doi.org/10.3390/brainsci11050606
"" target=""_blank"">https://doi.org/10.3390/brainsci11050606
</a>", , , ,Meryem Ayşe Yücel," Vanessa Reindl, David Moreau, Talukdar Raian Ferdous, Chia-Chuan Yu, Felix Scholkmann, Ishara Paranawithana, Jason DeFreitas, Jessica Gemignani, Mahmoud Elsherif, Christian Gerloff, Abi Fiske, Qianqian Fang, Anastasia Kerr-German",Complete (agreement from at least 5 team members) 
BIDS,"The Brain Imaging Data Structure (BIDS) is a standardized format for organizing and describing neuroimaging data such as fMRI, EEG, fNIRS as well as behavioral data, among others, making it accessible to and shareable with a wide range of researchers from diverse backgrounds. It is based on a formalized file and folder structure and JSON (Javascript Object Notation)-based metadata files with controlled vocabulary. The top-level directory contains subdirectories for each subject, and each subject directory contains subdirectories for each session and modality. It includes the core specification as well as extensions for specific brain imaging modalities and other types of data. (https://bids.neuroimaging.io/)",Analysis,"SNIRF, Open Science, Open Data, Data Structure, Standardization",BIDS,,"<a href=""https://doi.org/10.1038/sdata.2016.44"" target=""_blank"">https://doi.org/10.1038/sdata.2016.44</a><p></p><a href=""https://doi.org/10.1117/1.NPh.10.2.023515
"" target=""_blank"">https://doi.org/10.1117/1.NPh.10.2.023515
</a><p></p><a href=""https://doi.org/10.1162/imag_a_00103
"" target=""_blank"">https://doi.org/10.1162/imag_a_00103
</a><p></p><a href=""https://doi.org/10.31219/osf.io/7nmcp
"" target=""_blank"">https://doi.org/10.31219/osf.io/7nmcp
</a><p></p>
", , , ,Beatrix Barth,"Gregoire Vergotte, Kim Meidenbauer, Agnes Kroczek, Franziska Klein, Ali Rahimpour Jounghani, Talukdar Raian Ferdous, Chiara Bulgarelli, Divya Jain Laura Diprossimo, Meryem Ayşe Yücel, Qianqian Fang",Complete (agreement from at least 5 team members)
Block average,A block average is the response obtained from segmenting the fNIRS measurement with respect to the task or stimulus onset and offset and averaging these segments across trials of a given condition. The time window for block averaging usually starts with a baseline period and is long enough to capture the hemodynamic response to the stimulus presented. Block averaging can be done on the single-subject level or/and on the group level.,Analysis,"block design, event-related averaging",,,"<p></p><a href=""https://doi.org/10.1117/1.NPh.8.2.025008
"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.2.025008
</a><p></p><a href=""https://doi.org/10.1016/j.dcn.2010.07.004
"" target=""_blank"">https://doi.org/10.1016/j.dcn.2010.07.004
</a><p></p><a href=""https://doi.org/10.1111/nyas.13948
"" target=""_blank"">https://doi.org/10.1111/nyas.13948
</a><p></p><a href=""	https://doi.org/10.1117/1.2166632
"" target=""_blank"">	https://doi.org/10.1117/1.2166632
</a>", , , ,Jessica Gemignani," Aahana Bajracharya Agnes Kroczek, Franziska Klein, Chia-Chuan Yu, Felix Scholkmann, Christian Gerloff, Katharina Stute, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members) 
Boxcar function,"The boxcar function is a function which has values 0 everywhere except for specific time window(s) where its value is a constant. With respect to experimental studies, the boxcar function serves as a representation of time periods during which specific events occur (e.g., a stimulus or a nuisance factor). The function typically takes a rectangular form with a value of 1 when the event is 'on' with a width equal to the duration of the stimulus and 0 when the event is 'off'. In data analysis (e.g., General Linear Model), the boxcar function is used to model the experimental design or any other relevant binary (on/off) regressor or factor. In these use-cases, a value of 0 usually corresponds to the absence of the factor (e.g., no stimulation or “off” state, i.e., interstimulus interval), and a value of 1 corresponds to the presence of the factor (e.g., stimulus presentation or “on” state, i.e., stimulus block).",Analysis,"regressor, general linear model, block design, design matrix",,,"<a href=""https://doi.org/10.1016/B978-012372560-8/50003-6"" target=""_blank"">https://doi.org/10.1016/B978-012372560-8/50003-6</a><p></p><a href=""https://doi.org/10.1016/B978-012372560-8/50014-0 
"" target=""_blank"">https://doi.org/10.1016/B978-012372560-8/50014-0 
</a><p></p><a href=""https://doi.org/10.1006/nimg.1998.0351
"" target=""_blank"">https://doi.org/10.1006/nimg.1998.0351
</a><p></p>
", , , ,Judit Gervain," Franziska Klein, Thomas Dresler; Christina Artemenko, Jessica Gemignani, Aahana Bajracharya, Christian Gerloff, Meryem Ayşe Yücel, Felipe Orihuela-Espina, Qianqian Fang, Usama A Syed, M. Atif Yaqub, Katharina Stute, Samuel Montero-Hernandez, Gregoire Vergotte, Franziska Klein, Ann-Christine Ehlis, ",Complete (agreement from at least 5 team members) 
Butterworth filter," Butterworth filter is a type of Infinite Impulse Response (IIR) filter characterized by a maximally flat response in the passband (the frequencies that can pass through the filter) and a gradual roll-off in the stopband, the steepness of which depends on the order of the filter. The passband is defined by the cut-off frequency. The equivalent Finite Impulse Response (FIR) filter can be obtained using the bilinear transform.
",Analysis,"filter, Cut-off frequency, Chebishev filter",,,"<a href=""https://doi.org/10.1109/78.678493 https://doi.org/10.1016/B978-0-12-818946-7.00001-9"" target=""_blank"">https://doi.org/10.1109/78.678493 https://doi.org/10.1016/B978-0-12-818946-7.00001-9</a>",(if applicable) ,(if applicable) ,(if applicable) ,Paola Pinti,"Usama A Syed, Samuel Forbes, Meryem Ayşe Yücel, Anastasia Kerr-German, Felipe Orihuela-Espina", Complete (agreement from at least 5 team members)
Chebyshev filter,"A Chebyshev filter is a type of Infinite Impulse Response (IIR) filter that provides a specific trade-off between the sharpness of the filter's frequency response and the amount of ripple allowed in either the passband or the stopband. It is designed to achieve a steeper roll-off and smaller absolute errors than a Butterworth filter but at the expense of increased ripple in the frequency response. The equivalent Finite Impulse Response (FIR) filter can be obtained using the bilinear transform.
",Analysis,"filter, Butterworth filter ",,,"<a href=""https://doi.org/10.1002/cta.4490080205"" target=""_blank"">https://doi.org/10.1002/cta.4490080205</a>",(if applicable) ,(if applicable) ,(if applicable) ,Usama A Syed,"Samuel Forbes, Felipe Orihuela-Espina, Qianqian Fang, Samuel Montero-Hernandez", Open for review
Coefficient of variation,"The coefficient of variation (CV) is the ratio of the standard deviation of a signal to its mean value. In the context of fNIRS analyses, CV is often used to detect channels with poor signal quality.  ",Analysis,"Data quality assessment, scalp coupling index, signal quality metrics, noisy channels, channel rejection, Signal-to-noise-ratio (SNR) ",CV,,"<a href=""https://doi.org/10.1016/j.chemolab.2013.07.007"" target=""_blank"">https://doi.org/10.1016/j.chemolab.2013.07.007</a>", , , ,Renato Orti,"Gregoire Vergotte, David Moreau, Franziska Klein, Hanieh Zainodini, Felix Scholkmann, Ishara Paranawithana, Christian Bartkowski, Jessica Gemignani, Chia-Chuan Yu, Christian Gerloff, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
